name,hash_name,wear,url,price_usd,quantity,scraped_at
AK-47 | Aphrodite (Battle-Scarred),AK-47 | Aphrodite (Battle-Scarred),Battle-Scarred,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Aphrodite%20%28Battle-Scarred%29,16.5,724,2026-07-08T13:40:54.304979
AK-47 | Aphrodite (Factory New),AK-47 | Aphrodite (Factory New),Factory New,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Aphrodite%20%28Factory%20New%29,620.0,54,2026-07-08T13:40:54.305039
AK-47 | Aphrodite (Field-Tested),AK-47 | Aphrodite (Field-Tested),Field-Tested,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Aphrodite%20%28Field-Tested%29,24.67,805,2026-07-08T13:40:54.305092
AK-47 | Aphrodite (Minimal Wear),AK-47 | Aphrodite (Minimal Wear),Minimal Wear,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Aphrodite%20%28Minimal%20Wear%29,54.62,668,2026-07-08T13:40:54.305138
AK-47 | Aphrodite (Well-Worn),AK-47 | Aphrodite (Well-Worn),Well-Worn,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Aphrodite%20%28Well-Worn%29,18.25,757,2026-07-08T13:40:54.305184
AK-47 | Aquamarine Revenge (Battle-Scarred),AK-47 | Aquamarine Revenge (Battle-Scarred),Battle-Scarred,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Aquamarine%20Revenge%20%28Battle-Scarred%29,48.35,36,2026-07-08T13:40:54.305221
AK-47 | Aquamarine Revenge (Factory New),AK-47 | Aquamarine Revenge (Factory New),Factory New,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Aquamarine%20Revenge%20%28Factory%20New%29,263.09,46,2026-07-08T13:40:54.305257
AK-47 | Aquamarine Revenge (Field-Tested),AK-47 | Aquamarine Revenge (Field-Tested),Field-Tested,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Aquamarine%20Revenge%20%28Field-Tested%29,56.4,150,2026-07-08T13:40:54.305292
AK-47 | Aquamarine Revenge (Minimal Wear),AK-47 | Aquamarine Revenge (Minimal Wear),Minimal Wear,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Aquamarine%20Revenge%20%28Minimal%20Wear%29,88.66,87,2026-07-08T13:40:54.305327
AK-47 | Aquamarine Revenge (Well-Worn),AK-47 | Aquamarine Revenge (Well-Worn),Well-Worn,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Aquamarine%20Revenge%20%28Well-Worn%29,47.32,49,2026-07-08T13:40:54.305362
AK-47 | Asiimov (Battle-Scarred),AK-47 | Asiimov (Battle-Scarred),Battle-Scarred,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Asiimov%20%28Battle-Scarred%29,57.63,48,2026-07-08T13:40:56.455800
AK-47 | Asiimov (Factory New),AK-47 | Asiimov (Factory New),Factory New,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Asiimov%20%28Factory%20New%29,563.47,13,2026-07-08T13:40:56.455878
AK-47 | Asiimov (Field-Tested),AK-47 | Asiimov (Field-Tested),Field-Tested,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Asiimov%20%28Field-Tested%29,57.7,335,2026-07-08T13:40:56.455943
AK-47 | Asiimov (Minimal Wear),AK-47 | Asiimov (Minimal Wear),Minimal Wear,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Asiimov%20%28Minimal%20Wear%29,81.02,198,2026-07-08T13:40:56.456005
AK-47 | Asiimov (Well-Worn),AK-47 | Asiimov (Well-Worn),Well-Worn,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Asiimov%20%28Well-Worn%29,57.69,48,2026-07-08T13:40:56.456066
AK-47 | B the Monster (Battle-Scarred),AK-47 | B the Monster (Battle-Scarred),Battle-Scarred,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20B%20the%20Monster%20%28Battle-Scarred%29,103.23,54,2026-07-08T13:40:56.456127
AK-47 | B the Monster (Factory New),AK-47 | B the Monster (Factory New),Factory New,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20B%20the%20Monster%20%28Factory%20New%29,859.0,11,2026-07-08T13:40:56.456189
AK-47 | B the Monster (Field-Tested),AK-47 | B the Monster (Field-Tested),Field-Tested,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20B%20the%20Monster%20%28Field-Tested%29,182.07,128,2026-07-08T13:40:56.456249
AK-47 | B the Monster (Minimal Wear),AK-47 | B the Monster (Minimal Wear),Minimal Wear,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20B%20the%20Monster%20%28Minimal%20Wear%29,352.28,68,2026-07-08T13:40:56.456312
AK-47 | B the Monster (Well-Worn),AK-47 | B the Monster (Well-Worn),Well-Worn,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20B%20the%20Monster%20%28Well-Worn%29,156.6,17,2026-07-08T13:40:56.456371
