name,hash_name,wear,url,price_usd,quantity,scraped_at
AK-47 | Aphrodite (Battle-Scarred),AK-47 | Aphrodite (Battle-Scarred),Battle-Scarred,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Aphrodite%20%28Battle-Scarred%29,16.46,700,2026-07-07T15:24:28.122898
AK-47 | Aphrodite (Factory New),AK-47 | Aphrodite (Factory New),Factory New,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Aphrodite%20%28Factory%20New%29,668.21,55,2026-07-07T15:24:28.122951
AK-47 | Aphrodite (Field-Tested),AK-47 | Aphrodite (Field-Tested),Field-Tested,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Aphrodite%20%28Field-Tested%29,25.59,785,2026-07-07T15:24:28.122995
AK-47 | Aphrodite (Minimal Wear),AK-47 | Aphrodite (Minimal Wear),Minimal Wear,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Aphrodite%20%28Minimal%20Wear%29,54.88,660,2026-07-07T15:24:28.123037
AK-47 | Aphrodite (Well-Worn),AK-47 | Aphrodite (Well-Worn),Well-Worn,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Aphrodite%20%28Well-Worn%29,17.5,750,2026-07-07T15:24:28.123078
AK-47 | Aquamarine Revenge (Battle-Scarred),AK-47 | Aquamarine Revenge (Battle-Scarred),Battle-Scarred,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Aquamarine%20Revenge%20%28Battle-Scarred%29,44.39,35,2026-07-07T15:24:28.123120
AK-47 | Aquamarine Revenge (Factory New),AK-47 | Aquamarine Revenge (Factory New),Factory New,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Aquamarine%20Revenge%20%28Factory%20New%29,274.66,41,2026-07-07T15:24:28.123159
AK-47 | Aquamarine Revenge (Field-Tested),AK-47 | Aquamarine Revenge (Field-Tested),Field-Tested,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Aquamarine%20Revenge%20%28Field-Tested%29,54.67,152,2026-07-07T15:24:28.123197
AK-47 | Aquamarine Revenge (Minimal Wear),AK-47 | Aquamarine Revenge (Minimal Wear),Minimal Wear,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Aquamarine%20Revenge%20%28Minimal%20Wear%29,90.85,91,2026-07-07T15:24:28.123235
AK-47 | Aquamarine Revenge (Well-Worn),AK-47 | Aquamarine Revenge (Well-Worn),Well-Worn,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Aquamarine%20Revenge%20%28Well-Worn%29,45.58,48,2026-07-07T15:24:28.123274
AK-47 | Asiimov (Battle-Scarred),AK-47 | Asiimov (Battle-Scarred),Battle-Scarred,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Asiimov%20%28Battle-Scarred%29,51.54,50,2026-07-07T15:24:29.952691
