name,price_text,release_date,price,release_date_parsed
Counter-Strike 2,Free,"21 Aug, 2012",0,8/21/12
Cyberpunk 2077,CHF 16.79,"9 Dec, 2020",16.79,12/9/20
Apex Legends™,Free,"4 Nov, 2020",0,11/4/20
Team Fortress 2,Free,"10 Oct, 2007",0,10/10/07
SAND: Raiders of Sophie,CHF 22.11,"22 Jun, 2026",22.11,6/22/26
Tom Clancy's Rainbow Six Siege,Free,"1 Dec, 2015",0,12/1/15
Rust,CHF 17.99,"8 Feb, 2018",17.99,2/8/18
Red Dead Redemption 2,CHF 14.75,"5 Dec, 2019",14.75,12/5/19
Battlefield™ 6,CHF 34.95,"10 Oct, 2025",34.95,10/10/25
"Warhammer 40,000: Darktide",CHF 11.22,"30 Nov, 2022",11.22,11/30/22
Ready or Not,CHF 27.75,"13 Dec, 2023",27.75,12/13/23
Marvel Rivals,Free,"5 Dec, 2024",0,12/5/24
Borderlands 4,CHF 34.95,"11 Sep, 2025",34.95,9/11/25
Resident Evil Requiem,CHF 55.92,"26 Feb, 2026",55.92,2/26/26
PUBG: BATTLEGROUNDS,Free,"21 Dec, 2017",0,12/21/17
Destiny 2,Free,"1 Oct, 2019",0,10/1/19
Schedule I,CHF 13.19,"24 Mar, 2025",13.19,3/24/25
Escape from Tarkov,CHF 35.24,"15 Nov, 2025",35.24,11/15/25
Sea of Thieves: 2026 Edition,CHF 15.40,"3 Jun, 2020",15.4,6/3/20
Arena Breakout: Infinite,Free,"15 Sep, 2025",0,9/15/25
No Man's Sky,CHF 26.39,"12 Aug, 2016",26.39,8/12/16
theHunter: Call of the Wild™,CHF 2.19,"16 Feb, 2017",2.19,2/16/17
Overwatch®,Free,"10 Aug, 2023",0,8/10/23
Call of Duty®: Modern Warfare® II,CHF 6.99,"27 Oct, 2022",6.99,10/27/22
S.T.A.L.K.E.R. 2: Heart of Chornobyl,CHF 48.30,"20 Nov, 2024",48.3,11/20/24
Fallout 76,CHF 11.97,"14 Apr, 2020",11.97,4/14/20
Arma Reforger,CHF 28.00,"16 Nov, 2023",28,11/16/23
DOOM: The Dark Ages,CHF 26.36,"14 May, 2025",26.36,5/14/25
Call of Duty®: Black Ops III,CHF 19.76,"5 Nov, 2015",19.76,11/5/15
Witchfire,CHF 35.60,"23 Sep, 2024",35.6,9/23/24
Tainted Grail: The Fall of Avalon,CHF 29.99,"23 May, 2025",29.99,5/23/25
Avatar: Frontiers of Pandora™,CHF 17.94,"17 Jun, 2024",17.94,6/17/24
Gray Zone Warfare,CHF 26.73,"30 Apr, 2024",26.73,4/30/24
THE FINALS,Free,"7 Dec, 2023",0,12/7/23
Hunt: Showdown 1896,CHF 12.79,"27 Aug, 2019",12.79,8/27/19
Far Far West,CHF 17.09,"28 Apr, 2026",17.09,4/28/26
MOUSE: P.I. For Hire,CHF 26.80,"16 Apr, 2026",26.8,4/16/26
DayZ,CHF 23.99,"13 Dec, 2018",23.99,12/13/18
Far Cry® 4,CHF 3.49,"17 Nov, 2014",3.49,11/17/14
Battlefield™ REDSEC,Free,"28 Oct, 2025",0,10/28/25
7 Days to Die,CHF 27.49,"25 Jul, 2024",27.49,7/25/24
Call of Duty®: Black Ops 7,CHF 39.95,"13 Nov, 2025",39.95,11/13/25
Call of Duty®: Black Ops II,CHF 14.85,"12 Nov, 2012",14.85,11/12/12
Metro Exodus,CHF 3.39,"14 Feb, 2020",3.39,2/14/20
Dead Island 2,CHF 5.65,"22 Apr, 2024",5.65,4/22/24
Bodycam,CHF 31.19,"7 Jun, 2024",31.19,6/7/24
Halo: Campaign Evolved,CHF 59.90,"28 Jul, 2026",59.9,7/28/26
World of Tanks Blitz,Free,"9 Nov, 2016",0,11/9/16
Call of Duty®: Warzone™,Free,"16 Nov, 2022",0,11/16/22
Tom Clancy's Ghost Recon® Breakpoint,CHF 13.99,"23 Jan, 2023",13.99,1/23/23
