name,price_text,release_date
Counter-Strike 2,Free,"21 Aug, 2012"
Team Fortress 2,Free,"10 Oct, 2007"
Cyberpunk 2077,CHF 55.99,"9 Dec, 2020"
Apex Legends™,Free,"4 Nov, 2020"
PUBG: BATTLEGROUNDS,Free,"21 Dec, 2017"
Rust,CHF 35.99,"8 Feb, 2018"
Red Dead Redemption 2,CHF 14.75,"5 Dec, 2019"
THE FINALS,Free,"7 Dec, 2023"
Marvel Rivals,Free,"5 Dec, 2024"
Tom Clancy's Rainbow Six Siege,Free,"1 Dec, 2015"
Borderlands 4,CHF 34.95,"11 Sep, 2025"
Ready or Not,CHF 55.50,"13 Dec, 2023"
Battlefield™ 6,CHF 69.90,"10 Oct, 2025"
"Warhammer 40,000: Darktide",CHF 44.90,"30 Nov, 2022"
DOOM: The Dark Ages,CHF 79.90,"14 May, 2025"
SAND: Raiders of Sophie,CHF 27.99,"22 Jun, 2026"
Arena Breakout: Infinite,Free,"15 Sep, 2025"
Schedule I,CHF 21.99,"24 Mar, 2025"
Escape from Tarkov,CHF 46.99,"15 Nov, 2025"
Sea of Thieves: 2026 Edition,CHF 44.00,"3 Jun, 2020"
Resident Evil Requiem,CHF 69.90,"26 Feb, 2026"
Destiny 2,Free,"1 Oct, 2019"
Arma Reforger,CHF 40.00,"16 Nov, 2023"
Overwatch®,Free,"10 Aug, 2023"
Avatar: Frontiers of Pandora™,CHF 29.90,"17 Jun, 2024"
Battlefield™ REDSEC,Free,"28 Oct, 2025"
theHunter: Call of the Wild™,CHF 21.99,"16 Feb, 2017"
No Man's Sky,CHF 65.99,"12 Aug, 2016"
Call of Duty®: Black Ops II,CHF 45.00,"12 Nov, 2012"
Hunt: Showdown 1896,CHF 31.99,"27 Aug, 2019"
Gray Zone Warfare,CHF 39.90,"30 Apr, 2024"
Tainted Grail: The Fall of Avalon,CHF 49.99,"23 May, 2025"
Delta Force,Free,"4 Dec, 2024"
Call of Duty®: Black Ops 7,CHF 79.90,"13 Nov, 2025"
MOUSE: P.I. For Hire,CHF 33.50,"16 Apr, 2026"
OPERATOR,CHF 21.99,"1 Aug, 2023"
Halo: Campaign Evolved,CHF 59.90,"28 Jul, 2026"
Call of Duty®: Black Ops III,CHF 59.90,"5 Nov, 2015"
Far Far West,CHF 18.99,"28 Apr, 2026"
Fallout 76,CHF 47.90,"14 Apr, 2020"
Dead Island 2,CHF 5.65,"22 Apr, 2024"
Deep Rock Galactic: Rogue Core,CHF 33.50,"20 May, 2026"
World of Tanks Blitz,Free,"9 Nov, 2016"
DayZ,CHF 47.99,"13 Dec, 2018"
Witchfire,CHF 44.50,"23 Sep, 2024"
Bodycam,CHF 38.99,"7 Jun, 2024"
DCS World Steam Edition,Free,"2 Aug, 2013"
Deep Rock Galactic,CHF 33.50,"13 May, 2020"
Far Cry® 4,CHF 34.99,"17 Nov, 2014"
Metro Exodus,CHF 33.90,"14 Feb, 2020"
